,DATANO,DATACD,DATANM,AREACD,AREANM,time1,time2,time3,time4,time5,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,RGN21CD,RGN21NM
2155,8.0,data8,Protective measures,E07000133,Melton,115.5161,117.5613,114.792,112.458,111.4356,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2169,8.0,data8,Protective measures,E07000134,North West Leicestershire,109.8606,111.7491,111.5982,111.5915,112.8781,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2183,8.0,data8,Protective measures,E07000135,Oadby and Wigston,108.0466,109.6515,108.0362,107.6753,104.9072,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2197,8.0,data8,Protective measures,E07000136,Boston,98.40936,100.638,100.0474,99.58753,98.026,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2211,8.0,data8,Protective measures,E07000137,East Lindsey,106.2798,106.1914,105.3059,106.4726,107.5418,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2225,8.0,data8,Protective measures,E07000138,Lincoln,96.35362,97.33301,96.83499,97.12255,96.94514,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2239,8.0,data8,Protective measures,E07000139,North Kesteven,109.1768,113.1424,111.6676,112.0644,112.1989,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2253,8.0,data8,Protective measures,E07000140,South Holland,113.7558,109.0735,109.2765,106.7854,106.656,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2267,8.0,data8,Protective measures,E07000141,South Kesteven,108.2433,108.0677,111.252,108.1231,109.5409,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2281,8.0,data8,Protective measures,E07000142,West Lindsey,109.0046,112.0604,109.2163,109.4259,110.0301,,,,,,,,,,,,,,,,,,,,,,E12000004,East Midlands
2295,8.0,data8,Protective measures,E07000143,Breckland,107.0249,110.624,109.4918,106.0992,107.2387,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
2309,8.0,data8,Protective measures,E07000144,Broadland,117.0691,116.385,115.5617,114.4191,114.0718,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
2323,8.0,data8,Protective measures,E07000145,Great Yarmouth,99.45061,98.20471,100.2034,100.0625,101.335,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
2337,8.0,data8,Protective measures,E07000146,King's Lynn and West Norfolk,101.7885,102.8428,102.111,101.6897,102.534,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
2351,8.0,data8,Protective measures,E07000147,North Norfolk,109.8032,113.0306,109.6833,110.3546,110.0432,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
2365,8.0,data8,Protective measures,E07000148,Norwich,97.37322,97.41784,96.41966,94.80167,94.83032,,,,,,,,,,,,,,,,,,,,,,E12000006,East of England
